570,190,1005,190,1005,455,570,455,Mot
1050,175,1440,175,1440,440,1050,440,trieu
1505,220,1850,220,1850,410,1505,410,like
510,715,770,715,770,890,510,890,Den
485,475,785,475,785,720,485,720,Mot
825,500,1055,500,1055,675,825,675,cai
1130,485,1440,485,1440,710,1130,710,beat
1490,465,1740,465,1740,695,1490,695,that
1850,455,2130,455,2130,655,1850,655,chill
2225,460,2490,460,2490,700,2225,700,dua
2550,670,2870,670,2870,930,2550,930,kieu
2515,440,2670,440,2670,700,2515,700,ta
2700,435,2930,435,2930,650,2700,650,ve
2915,425,3145,425,3145,680,2915,680,voi
3165,415,3405,415,3405,670,3165,670,ban
3440,405,3730,405,3730,700,3440,700,chat
805,735,1055,735,1055,920,805,920,vau
1160,730,1470,730,1470,955,1160,955,keep
1535,725,1685,725,1685,930,1535,930,it
1705,720,1955,720,1955,905,1705,905,real
2015,735,2225,735,2225,935,2015,935,rap
2265,745,2495,745,2495,890,2265,890,theo
2870,740,3105,740,3105,915,2870,915,don
570,970,915,970,915,1190,570,1190,gian
1035,955,1375,955,1375,1160,1035,1160,nhat
