500,175,865,175,865,415,500,415,Cuoc
930,185,1240,185,1240,385,930,385,choi
1285,170,1465,170,1465,385,1285,385,di
1495,170,1725,170,1725,395,1495,395,hoi
1770,255,1945,255,1945,385,1770,385,xa
2030,210,2270,210,2270,385,2030,385,hon
2280,205,2425,205,2425,380,2280,380,ca
2425,180,2660,180,2660,385,2425,385,thu
2690,230,2880,230,2880,370,2690,370,ma
2915,225,3050,225,3050,395,2915,395,ta
3090,165,3355,165,3355,445,3090,445,tung
615,840,890,840,890,1075,615,1075,lam
580,670,820,670,820,865,580,865,Bat
530,470,755,470,755,610,530,610,mo
780,430,1010,430,1010,610,780,610,ve
875,690,1125,690,1125,855,875,855,cho
1180,685,1335,685,1335,865,1180,865,ta
1260,915,1465,915,1465,1080,1260,1080,ne
1345,690,1605,690,1605,870,1345,870,con
1675,670,1960,670,1960,840,1675,840,beat
1985,675,2180,675,2180,845,1985,845,coi
2230,655,2475,655,2475,830,2230,830,Den
2495,665,2745,665,2745,840,2495,840,Vau
2795,660,3025,660,3025,875,2795,875,tiep
3065,655,3245,655,3245,915,3065,915,tuc
945,910,1180,910,1180,1090,945,1090,tho
