710,195,940,195,940,390,710,390,Con
1008,215,1253,215,1253,405,1008,405,gau
1429,176,1707,176,1707,385,1429,385,Kiem
1759,219,1925,219,1925,382,1759,382,an
2033,164,2213,164,2213,372,2033,372,du
2285,176,2506,176,2506,376,2285,376,thi
2546,156,2714,156,2714,348,2546,348,no
2738,168,2982,168,2982,364,2738,364,moi
3030,176,3174,176,3174,360,3030,360,co
3242,168,3482,168,3482,340,3242,340,the
736,432,1029,432,1029,656,736,656,ngu
1077,460,1349,460,1349,676,1077,676,dong
1049,672,1269,672,1269,857,1049,857,Dai
1337,672,1629,672,1629,881,1337,881,Bang
1749,628,1941,628,1941,825,1749,825,Tap
2033,660,2237,660,2237,869,2033,869,Dap
2309,656,2646,656,2646,837,2309,837,canh
2702,612,3026,612,3026,805,2702,805,Truoc
3110,616,3246,616,3246,796,3110,796,ca
3294,616,3454,616,3454,784,3294,784,khi
1085,917,1261,917,1261,1053,1085,1053,no
1317,897,1545,897,1545,1049,1317,1049,da
1553,901,1737,901,1737,1061,1553,1061,du
1833,881,2093,881,2093,1145,1833,1145,long
