760,520,1045,520,1045,735,760,735,lam
715,300,1070,300,1070,520,715,520,Chiu
1145,265,1565,265,1565,455,1145,455,nhieu
1615,255,1875,255,1875,470,1615,470,vet
1915,280,2395,280,2395,530,1915,530,thuong
2470,255,2815,255,2815,460,2470,460,nhat
2820,465,3160,465,3160,705,2820,705,nguoi
2885,250,3195,250,3195,440,2885,440,moi
3245,240,3420,240,3420,440,3245,440,du
3460,240,3670,240,3670,440,3460,440,suc
1145,585,1390,585,1390,725,1145,725,Con
1460,510,1675,510,1675,725,1460,725,soi
1770,500,2030,500,2030,705,1770,705,dau
2125,515,2400,515,2400,715,2125,715,dan
2595,750,2905,750,2905,960,2595,960,duoc
2545,540,2785,540,2785,695,2545,695,con
3200,490,3485,490,3485,735,3200,735,trong
800,770,1285,770,1285,1010,800,1010,nghich
1370,965,1630,965,1630,1145,1370,1145,dau
1340,770,1655,770,1655,960,1340,960,canh
1825,745,2130,745,2130,1000,1825,1000,cang
2200,750,2570,750,2570,990,2200,990,khong
2950,750,3255,750,3255,985,2950,985,phep
880,1025,1240,1025,1240,1270,880,1270,chiu
1680,1040,2020,1040,2020,1275,1680,1275,hang
