285,255,750,255,750,675,285,675,khong
835,355,1070,355,1070,605,835,605,co
1865,270,2260,270,2260,600,1865,600,hoa
2310,270,2850,270,2850,665,2310,665,hong
295,645,765,645,765,950,295,950,neu
900,660,1470,660,1470,1085,900,1085,khong
1595,660,2005,660,2005,975,1595,975,lam
2110,670,2475,670,2475,960,2110,960,ma
2545,670,2985,670,2985,980,2545,980,chi
285,1070,795,1070,795,1445,285,1445,gioi
880,1065,1255,1065,1255,1450,880,1450,pha
1425,1035,1685,1035,1685,1360,1425,1360,Co
1720,1085,1940,1085,1940,1370,1720,1370,le
2025,1070,2465,1070,2465,1395,2025,1395,viec
2565,1045,2830,1045,2830,1355,2565,1355,ta
2840,1030,3240,1030,3240,1370,2840,1370,lam
335,1440,780,1440,780,1750,335,1750,chi
820,1450,1050,1450,1050,1720,820,1720,la
1110,1360,1490,1360,1490,1745,1110,1745,thu
1510,1435,1785,1435,1785,1830,1510,1830,gi
1825,1415,2105,1415,2105,1735,1825,1735,do
2150,1445,2685,1445,2685,1810,2150,1810,dang
2770,1425,3145,1425,3145,1785,2770,1785,hop
3210,1360,3695,1360,3695,1705,3210,1705,thoi
