235,90,800,90,800,455,235,455,CUNG
880,150,1425,150,1425,445,880,445,VUI
1530,75,1835,75,1835,465,1530,465,Vi
1920,115,2320,115,2320,420,1920,420,lam
2445,100,2990,100,2990,410,2445,410,chiec
3030,105,3240,105,3240,420,3030,420,la
350,545,945,545,945,880,350,880,trong
985,575,1245,575,1245,820,985,820,vo
1350,545,1755,545,1755,795,1350,795,van
1795,485,2195,485,2195,790,1795,790,hoa
2255,445,2510,445,2510,780,2255,780,la
2570,490,2945,490,2945,895,2570,895,bay
3050,570,3395,570,3395,845,3050,845,rop
3415,475,3795,475,3795,775,3415,775,troi
