385,170,690,170,690,415,385,415,Neu
790,200,1060,200,1060,420,790,420,moi
1105,225,1515,225,1515,460,1105,460,nguoi
1550,215,1795,215,1795,395,1550,395,cho
1865,235,2000,235,2000,475,1865,475,ta
2055,235,2305,235,2305,445,2055,445,mot
2350,245,2665,245,2665,445,2350,445,ngan
2780,195,2945,195,2945,385,2780,385,la
2990,230,3125,230,3125,370,2990,370,ta
385,510,615,510,615,725,385,725,se
595,485,760,485,760,690,595,690,co
790,720,1110,720,1110,945,790,945,tien
805,545,1150,545,1150,740,805,740,ngay
1175,715,1400,715,1400,925,1175,925,do
1195,535,1470,535,1470,700,1195,700,mot
1505,475,1670,475,1670,725,1505,725,ty
1720,485,2065,485,2065,710,1720,710,dong
425,985,730,985,730,1215,425,1215,may
415,750,715,750,715,1000,415,1000,Lay
1470,750,1700,750,1700,940,1470,940,len
1750,730,2125,730,2125,955,1750,955,vung
2145,735,2350,735,2350,910,2145,910,xa
2490,715,2730,715,2730,935,2490,935,xay
2785,690,3075,690,3075,920,2785,920,duoc
770,990,990,990,990,1200,770,1200,cai
1065,985,1290,985,1290,1225,1065,1225,lop
1335,1010,1595,1010,1595,1220,1335,1220,hoc
1675,965,1925,965,1925,1185,1675,1185,vo
1940,980,2280,980,2280,1227,1940,1227,long
