485,225,795,225,795,495,485,495,Goi
880,250,1080,250,1080,480,880,480,ta
1125,205,1290,205,1290,420,1125,420,la
1390,180,1685,180,1685,430,1390,430,Mit
1855,230,2105,230,2105,450,1855,450,Dac
2275,185,2565,185,2565,500,2275,500,ban
2650,205,2800,205,2800,400,2650,400,ta
2870,195,3010,195,3010,395,2870,395,la
3085,180,3375,180,3375,390,3085,390,Biet
3495,160,3760,160,3760,380,3495,380,tuot
510,525,775,525,775,730,510,730,Va
850,535,1050,535,1050,710,850,710,ta
1070,740,1490,740,1490,1010,1070,1010,truoc
1130,515,1480,515,1480,770,1130,770,dang
1605,510,1980,510,1980,820,1605,820,phieu
2090,505,2315,505,2315,690,2090,690,luu
2445,475,2865,475,2865,750,2445,750,chuyen
2915,500,3055,500,3055,685,2915,685,di
3125,485,3500,485,3500,735,3125,735,khong
580,790,920,790,920,1000,580,1000,biet
