257,160,490,160,490,333,257,333,Dam
537,183,867,183,867,397,537,397,nguoi
950,173,1043,173,1043,340,950,340,o
1097,210,1413,210,1413,407,1097,407,trong
1463,133,1907,133,1907,373,1463,373,chuong
2023,163,2227,163,2227,333,2023,333,noi
2300,177,2440,177,2440,377,2300,377,tui
287,387,483,387,483,560,287,560,tao
587,413,947,413,947,613,587,613,ngong
1043,387,1390,387,1390,603,1043,603,cuong
307,613,533,613,533,767,307,767,Noi
723,643,960,643,960,770,723,770,tao
1137,630,1333,630,1333,760,1137,760,vo
1407,617,1690,617,1690,760,1407,760,van
1837,617,2100,617,2100,760,1837,760,hoa
693,840,1087,840,1087,1033,693,1033,Nhung
1320,800,1500,800,1500,953,1320,953,ma
1633,820,1850,820,1850,970,1633,970,tao
1950,827,2233,827,2233,1047,1950,1047,khong
2280,807,2557,807,2557,1010,2280,1010,buon
