153,186,464,186,464,406,153,406,Cung
515,186,782,186,782,365,515,365,da
775,380,1085,380,1085,617,775,617,trang
793,208,1111,208,1111,424,793,424,quen
1147,172,1341,172,1341,347,1147,347,voi
1377,128,1677,128,1677,380,1377,380,dang
1724,186,1947,186,1947,384,1724,384,cay
2046,153,2309,153,2309,325,2046,325,buoc
2386,190,2554,190,2554,329,2386,329,vao
1765,420,1951,420,1951,617,1765,617,lai
1955,285,1995,285,1995,362,1955,362,-phay-
172,398,387,398,387,585,172,585,doi
475,427,698,427,698,625,475,625,tay
1165,413,1425,413,1425,628,1165,628,cung
1476,387,1717,387,1717,588,1476,588,lam
1987,391,2159,391,2159,559,1987,559,tro
2188,387,2353,387,2353,566,2188,566,ve
2389,398,2572,398,2572,541,2389,541,voi
190,628,522,628,522,895,190,895,trang
577,672,807,672,807,855,577,855,tay
