280,270,595,270,595,495,280,495,Cho
680,260,930,260,930,505,680,505,toi
1025,305,1320,305,1320,510,1025,510,khi
1385,265,1715,265,1715,565,1385,565,may
1860,260,2290,260,2290,470,1860,470,hieu
2475,245,2875,245,2875,515,2475,515,duoc
2985,265,3220,265,3220,505,2985,505,su
3285,225,3530,225,3530,460,3285,460,nhe
3550,250,3830,250,3830,505,3550,505,nhe
305,610,780,610,780,835,305,835,nhom
910,585,1170,585,1170,790,910,790,cua
1270,635,1575,635,1575,815,1270,815,mot
1685,560,1935,560,1935,785,1685,785,cai
2010,555,2340,555,2340,785,2010,785,tho
2460,545,2850,545,2850,840,2460,840,phao
