290,165,525,165,525,390,290,390,Ta
600,70,910,70,910,345,600,345,chi
990,95,1490,95,1490,335,990,335,muon
1550,85,1960,85,1960,350,1550,350,duoc
2070,70,2375,70,2375,385,2070,385,yen
2395,225,2460,225,2460,380,2395,380,-phay-
2485,55,2825,55,2825,390,2485,390,dung
2900,80,3125,80,3125,295,2900,295,no
3095,95,3355,95,3355,335,3095,335,nao
340,655,660,655,660,945,340,945,Anh
700,665,1105,665,1105,1020,700,1020,nang
1185,675,1520,675,1520,900,1185,900,cuoi
1635,710,2055,710,2055,960,1635,960,cung
2110,690,2445,690,2445,890,2110,890,dan
2485,705,2940,705,2940,975,2485,975,buong
2990,690,3365,690,3365,940,2990,940,xuong
