390,175,840,175,840,545,390,545,Song
920,145,1420,145,1420,520,920,520,phai
1385,543,1662,543,1662,779,1385,779,tui
2430,108,2935,108,2935,438,2430,438,dung
1552,167,1953,167,1953,413,1552,413,hien
3430,116,3806,116,3806,477,3430,477,lanh
396,576,818,576,818,785,396,785,Lanh
1864,850,2261,850,2261,1088,1864,1088,kiet
2312,1126,2693,1126,2693,1415,2312,1415,cach
2363,880,2760,880,2760,1094,2363,1094,may
1464,1159,1857,1159,1857,1468,1464,1468,dong
2097,481,2395,481,2395,747,2097,747,bat
927,507,1331,507,1331,827,927,827,qua
2483,566,2788,566,2788,796,2483,796,nat
1457,816,1749,816,1749,1071,1457,1071,vat
2093,112,2398,112,2398,405,2093,405,chu
980,1196,1361,1196,1361,1488,980,1488,tung
853,881,1038,881,1038,1087,853,1087,no
3015,86,3363,86,3363,479,3015,479,qua
371,870,727,870,727,1154,371,1154,Tui
1960,1243,2184,1243,2184,1425,1960,1425,xuong
1795,470,2012,470,2012,727,1795,727,no
2749,1183,3001,1183,3001,1476,2749,1476,Bac
518,1207,849,1207,849,1449,518,1449,Den
1153,885,1436,885,1436,1101,1153,1101,se
