755,265,1170,265,1170,580,755,580,Tao
1340,290,1675,290,1675,520,1340,520,tin
1705,285,1885,285,1885,495,1705,495,la
1975,260,2455,260,2455,560,1975,560,may
2540,275,2780,275,2780,490,2540,490,se
2830,175,3275,175,3275,490,2830,490,biet
790,580,990,580,990,840,790,840,o
1120,605,1515,605,1515,895,1120,895,ben
1590,610,2095,610,2095,970,1590,970,may
2275,590,2530,590,2530,825,2275,825,co
2585,575,2840,575,2840,800,2585,800,ai
2935,535,3160,535,3160,795,2935,795,la
3195,565,3505,565,3505,850,3195,850,Ban
