140,240,490,240,490,570,140,570,Vi
515,280,860,280,860,600,515,600,tro
950,275,1335,275,1335,590,950,590,doi
1400,290,1755,290,1755,560,1400,560,ma
1880,290,2310,290,2310,580,1880,580,chua
2390,290,2770,290,2770,555,2390,555,nhu
2780,245,3010,245,3010,560,2780,560,la
3085,275,3440,275,3440,555,3085,555,dua
205,645,695,645,695,1025,205,1025,ghem
870,645,1175,645,1175,1005,870,1005,Tui
1225,685,1515,685,1515,965,1225,965,no
1645,660,2095,660,2095,920,1645,920,thich
2135,610,2415,610,2415,985,2135,985,ha
2470,635,2815,635,2815,970,2470,970,thap
2930,590,3460,590,3460,950,2930,950,nguoi
210,1005,750,1005,750,1275,210,1275,khac
830,975,1165,975,1165,1270,830,1270,de
1195,965,1580,965,1580,1265,1195,1265,che
1615,970,1985,970,1985,1305,1615,1305,day
2000,1005,2400,1005,2400,1255,2000,1255,cam
2435,995,2820,995,2820,1275,2435,1275,giac
2955,955,3440,955,3440,1230,2955,1230,thua
3510,920,3850,920,3850,1190,3510,1190,kem
