255,345,705,345,705,665,255,665,Lam
875,355,1245,355,1245,725,875,725,ban
1350,380,1655,380,1655,685,1350,685,tao
1820,350,2135,350,2135,655,1820,655,thi
2160,345,2705,345,2705,715,2160,715,duoc
285,690,770,690,770,1070,285,1070,Dung
845,720,1100,720,1100,1000,845,1000,co
1235,740,1770,740,1770,985,1235,985,muon
1870,720,2270,720,2270,995,1870,995,lam
2310,760,2655,760,2655,1055,2310,1055,ong
2720,705,2985,705,2985,1005,2720,1005,co
3065,755,3385,755,3385,1065,3065,1065,noi
3425,700,3850,700,3850,990,3425,990,tao
