627,173,877,173,877,357,627,357,Cac
897,170,1167,170,1167,403,897,403,dang
1247,187,1453,187,1453,393,1247,393,bai
1487,170,1787,170,1787,390,1487,390,toan
1797,170,1903,170,1903,363,1797,363,8
1883,170,2123,170,2123,370,1883,370,dem
307,403,620,403,620,590,307,590,Dang
640,410,740,410,740,553,640,553,1
753,450,813,450,813,560,753,560,-
827,387,1070,387,1070,573,827,573,Bai
1117,403,1377,403,1377,557,1117,557,toan
1427,410,1607,410,1607,573,1427,573,co
1617,400,1847,400,1847,563,1617,563,so
1833,407,2123,407,2123,583,1833,583,chia
2167,390,2357,390,2357,577,2167,577,het
320,640,433,640,433,750,320,750,n
447,610,520,610,520,740,447,740,-
557,603,670,603,670,773,557,773,Words
867,603,1107,603,1107,747,867,747,chu
1117,587,1303,587,1303,780,1117,780,so
1317,587,1477,587,1477,803,1317,803,tan
1540,590,1747,590,1747,800,1540,800,cung
1787,633,1853,633,1853,760,1787,760,-
1840,597,1940,597,1940,743,1840,743,0
1990,613,2090,613,2090,760,1990,760,2
2130,627,2233,627,2233,740,2130,740,4
2270,610,2363,610,2363,760,2270,760,6
2407,607,2487,607,2487,740,2407,740,8
323,830,443,830,443,943,323,943,n
440,817,513,817,513,960,440,960,-
520,800,657,800,657,933,520,933,3
337,1029,412,1029,412,1142,337,1142,n
314,1218,408,1218,408,1323,314,1323,n
314,1450,410,1450,410,1560,314,1560,n
311,1659,401,1659,401,1763,311,1763,n
302,1890,404,1890,404,1989,302,1989,n
314,2085,404,2085,404,2184,314,2184,n
424,1048,452,1048,452,1153,424,1153,-
418,1235,475,1235,475,1345,418,1345,-
410,1461,475,1461,475,1580,410,1580,-
407,1659,472,1659,472,1772,407,1772,-
401,1879,469,1879,469,1995,401,1995,-
427,2094,463,2094,463,2193,427,2193,-
514,1000,619,1000,619,1113,514,1113,4
500,1215,602,1215,602,1351,500,1351,5
475,1427,543,1427,543,1574,475,1574,6
478,1633,562,1633,562,1732,478,1732,8
480,1856,565,1856,565,2001,480,2001,9
514,2066,647,2066,647,2184,514,2184,10
938,797,1180,797,1180,1009,938,1009,tong
1199,825,1371,825,1371,987,1199,987,cac
1410,816,1699,816,1699,978,1410,978,chu
1702,816,1907,816,1907,972,1702,972,so
1984,806,2060,806,2060,926,1984,926,-
2137,800,2217,800,2217,950,2137,950,3
929,1006,1039,1006,1039,1125,929,1125,2
1088,996,1370,996,1370,1165,1088,1165,chu
1383,1003,1570,1003,1570,1162,1383,1162,so
1597,996,1876,996,1876,1174,1597,1174,cuoi
1971,1055,2027,1055,2027,1174,1971,1174,-
2076,1018,2168,1018,2168,1147,2076,1147,4
966,1223,1226,1223,1226,1361,966,1361,chu
1236,1208,1410,1208,1410,1371,1236,1371,so
1426,1202,1616,1202,1616,1383,1426,1383,tan
1671,1236,1913,1236,1913,1413,1671,1413,cung
2033,1220,2134,1220,2134,1364,2033,1364,0
2165,1233,2269,1233,2269,1355,2165,1355,5
926,1395,1165,1395,1165,1597,926,1597,dong
1226,1398,1450,1398,1450,1579,1226,1579,thoi
1484,1398,1717,1398,1717,1554,1484,1554,chia
1772,1386,1953,1386,1953,1576,1772,1576,het
1974,1410,2223,1410,2223,1561,1974,1561,cho
2290,1380,2373,1380,2373,1554,2290,1554,2
2370,1416,2536,1416,2536,1545,2370,1545,va
2578,1392,2658,1392,2658,1530,2578,1530,3
895,1604,987,1604,987,1772,895,1772,3
1009,1610,1257,1610,1257,1760,1009,1760,chu
1263,1600,1429,1600,1429,1778,1263,1778,so
1441,1597,1695,1597,1695,1763,1441,1763,cuoi
1787,1625,1855,1625,1855,1729,1787,1729,-
1901,1622,1993,1622,1993,1757,1901,1757,8
1941,1833,2008,1833,2008,1959,1941,1959,-
2020,1791,2097,1791,2097,1981,2020,1981,9
2217,2005,2324,2005,2324,2134,2217,2134,0
889,1803,1104,1803,1104,2024,889,2024,tong
1131,1818,1325,1818,1325,1993,1131,1993,cac
1349,1833,1634,1833,1634,1990,1349,1990,chu
1653,1800,1818,1800,1818,1978,1653,1978,so
914,2017,1205,2017,1205,2168,914,2168,chu
1208,2020,1371,2020,1371,2171,1208,2171,so
1404,2020,1594,2020,1594,2186,1404,2186,tan
1625,2005,1852,2005,1852,2192,1625,2192,cung
1907,1981,2033,1981,2033,2165,1907,2165,la
2039,2005,2223,2005,2223,2146,2039,2146,so
